,TICKET_CARRIER,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,avg_price_0,avg_price_1,avg_price_2,avg_price_3,tot_passengers_0,tot_passengers_1,tot_passengers_2,tot_passengers_3,avg_dist_0,avg_dist_1,avg_dist_2,avg_dist_3,Airline.nane_0,tot_passengers_sqr_0,tot_passengers_sqr_1,tot_passengers_sqr_2,tot_passengers_sqr_3,QUARTER_0,avg_dist_sqr_0,avg_dist_sqr_1,avg_dist_sqr_2,avg_dist_sqr_3,AIRLINE_ID_0,Period_0,ID_0
42,AA,10140,11278,304.518361581921,329.791712707182,307.692655367232,287.206093023256,225,203,194,311,1762.73446327684,1762.83425414365,1776.24293785311,1787.57209302326,American Airlines,50625.0,41209.0,37636.0,96721.0,1,3107232.78802388,3107584.60758219,3155038.97427304,3195413.98775554,4,1,28
43,AA,10140,11298,202.860509383378,250.6861875,205.00691292876,234.542435424354,849,522,811,606,569.0,569.0,569.0,569.0,American Airlines,720801.0,272484.0,657721.0,367236.0,1,323761.0,323761.0,323761.0,323761.0,4,1,30
44,AA,10140,11433,294.931,335.5555,300.642884615385,274.960892857143,49,42,55,63,1555.0,1534.8,1535.57692307692,1527.05357142857,American Airlines,2401.0,1764.0,3025.0,3969.0,1,2418025.0,2355611.04,2357996.48668639,2331892.61001275,4,1,31
45,AA,10140,11618,271.2356,321.347321428571,290.62262295082,331.163,104,60,68,62,1936.84,1941.80357142857,1951.26229508197,1925.4,American Airlines,10816.0,3600.0,4624.0,3844.0,1,3751349.1856,3770601.11001275,3807424.54420855,3707165.16,4,1,32
46,AA,10140,11697,263.844301075269,288.251818181818,312.122903225806,258.74953125,149,68,73,68,1688.0,1697.27272727273,1705.11290322581,1722.953125,American Airlines,22201.0,4624.0,5329.0,4624.0,1,2849344.0,2880734.7107438,2907410.01274714,2968567.47094727,4,1,33
47,AA,10140,12173,659.524285714286,386.555714285714,442.62,447.12619047619,9,9,46,71,4193.0,3259.42857142857,3242.58139534884,3252.65079365079,American Airlines,81.0,81.0,2116.0,5041.0,1,17581249.0,10623874.6122449,10514334.1054624,10579737.1854371,4,1,34
48,AA,10140,12217,318.632727272727,350.058125,295.333333333333,297.21,12,16,9,18,1213.45454545455,1213.625,1172.0,1172.0,American Airlines,144.0,256.0,81.0,324.0,1,1472471.9338843,1472885.640625,1373584.0,1373584.0,4,1,35
49,AA,10140,12264,369.563888888889,286.51725,345.281315789474,314.48220338983,59,54,51,73,1741.0,1741.0,1743.26315789474,1757.20338983051,American Airlines,3481.0,2916.0,2601.0,5329.0,1,3031081.0,3031081.0,3038966.43767313,3087763.75323183,4,1,36
50,AA,10140,12266,219.343035714286,247.923793103448,259.261470588235,315.6372,68,29,39,27,793.0,793.0,793.0,793.0,American Airlines,4624.0,841.0,1521.0,729.0,1,628849.0,628849.0,628849.0,628849.0,4,1,37
51,AA,10140,12339,215.810545454545,285.093529411765,363.108611111111,280.078,80,52,42,41,1326.81818181818,1324.50980392157,1327.08333333333,1328.0,American Airlines,6400.0,2704.0,1764.0,1681.0,1,1760446.48760331,1754326.22068435,1761150.17361111,1763584.0,4,1,38
52,AA,10140,12451,273.844358974359,301.075517241379,310.306666666667,292.808235294118,43,30,25,39,1511.66666666667,1487.0,1555.45833333333,1487.0,American Airlines,1849.0,900.0,625.0,1521.0,1,2285136.11111111,2211169.0,2419450.62673611,2211169.0,4,1,39
53,AA,10140,12478,266.272692307692,178.696,329.1809375,283.840930232558,27,5,40,48,2025.88461538462,2218.4,2269.59375,1948.62790697674,American Airlines,729.0,25.0,1600.0,2304.0,1,4104208.47485207,4921298.56,5151055.79003906,3797150.71984857,4,1,40
54,AA,10140,12892,129.935,184.384615384615,188.708519637462,215.467491961415,2,14,714,686,677.0,678.615384615385,678.395770392749,680.112540192926,American Airlines,4.0,196.0,509796.0,470596.0,1,458329.0,460518.840236686,460220.821286772,462553.067327674,4,1,41
55,AA,10140,12953,230.584171779141,258.520092592593,256.073642857143,243.851439393939,231,250,165,154,1957.8282208589,1949.5787037037,1951.6,1963.59090909091,American Airlines,53361.0,62500.0,27225.0,23716.0,1,3833091.34239151,3800857.12193501,3808742.56,3855689.25826446,4,1,42
56,AA,10140,13198,191.9865,221.781470588235,265.942258064516,293.529411764706,46,36,31,20,1029.0,1029.0,1029.0,1029.0,American Airlines,2116.0,1296.0,961.0,400.0,1,1058841.0,1058841.0,1058841.0,1058841.0,4,1,43
57,AA,10140,13204,257.572110091743,276.312242990654,267.839461538462,246.677380952381,152,118,147,161,1554.0,1557.06542056075,1620.26923076923,1577.13492063492,American Airlines,23104.0,13924.0,21609.0,25921.0,1,2414916.0,2424452.72390602,2625272.38017751,2487354.55788612,4,1,44
58,AA,10140,13244,266.274827586207,328.891,314.521739130435,293.348484848485,37,30,23,38,1021.96551724138,1082.06666666667,1000.0,1000.0,American Airlines,1369.0,900.0,529.0,1444.0,1,1044413.51843044,1170868.27111111,1000000.0,1000000.0,4,1,45
59,AA,10140,13303,299.626395348837,439.197727272727,339.642769230769,281.809213483146,98,47,72,108,1697.76744186047,1733.70454545455,1694.0,1788.38202247191,American Airlines,9604.0,2209.0,5184.0,11664.0,1,2882414.28664143,3005731.45092975,2869636.0,3198310.25830072,4,1,46
60,AA,10140,13342,210.907428571429,265.721428571429,324.768888888889,290.627692307692,36,36,18,28,1415.22857142857,1415.22857142857,1408.83333333333,1456.03846153846,American Airlines,1296.0,1296.0,324.0,784.0,1,2002871.90938776,2002871.90938776,1984811.36111111,2120048.00147929,4,1,47
61,AA,10140,13485,280.4375,275.184347826087,362.9575,332.8,9,23,8,12,1390.0,1365.34782608696,1390.0,1390.0,American Airlines,81.0,529.0,64.0,144.0,1,1932100.0,1864174.68620038,1932100.0,1932100.0,4,1,48
62,AA,10140,13487,235.443833333333,261.635,263.949,236.914235294118,70,82,77,99,1421.51666666667,1422.51219512195,1431.45714285714,1429.97647058824,American Airlines,4900.0,6724.0,5929.0,9801.0,1,2020709.63361111,2023540.94527067,2049069.55183673,2044832.70643599,4,1,49
63,AA,10140,13495,260.368225806452,297.677021276596,271.459838709677,280.2165,75,47,62,45,1016.0,1016.0,1016.0,1016.0,American Airlines,5625.0,2209.0,3844.0,2025.0,1,1032256.0,1032256.0,1032256.0,1032256.0,4,1,50
64,AA,10140,13851,206.093488372093,301.906875,290.235161290323,253.91935483871,89,38,33,34,744.0,744.0,744.0,744.0,American Airlines,7921.0,1444.0,1089.0,1156.0,1,553536.0,553536.0,553536.0,553536.0,4,1,51
65,AA,10140,13871,184.35,304.617619047619,269.958333333333,262.478,36,21,12,34,1152.0,1152.0,1152.0,1166.2,American Airlines,1296.0,441.0,144.0,1156.0,1,1327104.0,1327104.0,1327104.0,1360022.44,4,1,52
66,AA,10140,13930,298.221041666667,290.075352112676,245.307798165138,311.77962962963,57,160,138,61,1354.47916666667,1195.66901408451,1192.33027522936,1382.09259259259,American Airlines,3249.0,25600.0,19044.0,3721.0,1,1834613.81293403,1429624.39124182,1421651.48522852,1910179.93449931,4,1,53
67,AA,10140,13931,287.405263157895,335.14,303.672068965517,266.075,20,37,35,18,1781.0,1795.75757575758,1781.0,1801.61111111111,American Airlines,400.0,1369.0,1225.0,324.0,1,3171961.0,3224745.27089073,3171961.0,3245802.59567901,4,1,54
68,AA,10140,14027,233.410227272727,305.7,293.793225806452,294.095641025641,55,30,32,39,1671.0,1685.62068965517,1671.0,1686.15384615385,American Airlines,3025.0,900.0,1024.0,1521.0,1,2792241.0,2841317.10939358,2792241.0,2843114.79289941,4,1,55
69,AA,10140,14057,205.0,311.335,192.409310344828,220.081951219512,2,4,33,55,2185.0,1592.5,1337.0,1413.90243902439,American Airlines,4.0,16.0,1089.0,3025.0,1,4774225.0,2536056.25,1787569.0,1999120.10707912,4,1,56
